NAME,PATTERN,VALUE
CSF_LW,"TR_2,H18",219
CSF_DownMinProvision,"TR_2,H18",219
CSF_LW,"TR_2,H19",219
CSF_DownMinProvision,"TR_2,H19",219
CSF_LW,"TR_2,H20",169
CSF_DownMinProvision,"TR_2,H20",169
CSF_LW,"TR_2,H21",169
CSF_DownMinProvision,"TR_2,H21",169
CSF_LW,"TR_2,H22",169
CSF_DownMinProvision,"TR_2,H22",169
CSF_LW,"TR_2,H23",163
CSF_DownMinProvision,"TR_2,H23",163
CSF_LW,"TR_2,H24",163
CSF_DownMinProvision,"TR_2,H24",163
CSF_RS,"DO_1,H1",156
CSF_UpMinProvision,"DO_1,H1",156
CSF_RS,"DO_1,H2",156
CSF_UpMinProvision,"DO_1,H2",156
CSF_RS,"DO_1,H3",133
CSF_UpMinProvision,"DO_1,H3",133
CSF_RS,"DO_1,H4",133
CSF_UpMinProvision,"DO_1,H4",133
CSF_RS,"DO_1,H5",133
CSF_UpMinProvision,"DO_1,H5",133
CSF_RS,"DO_1,H6",133
CSF_UpMinProvision,"DO_1,H6",133
CSF_RS,"DO_1,H7",133
CSF_UpMinProvision,"DO_1,H7",133
CSF_RS,"DO_1,H8",209
CSF_UpMinProvision,"DO_1,H8",209
CSF_RS,"DO_1,H9",209
CSF_UpMinProvision,"DO_1,H9",209
CSF_RS,"DO_1,H10",209
CSF_UpMinProvision,"DO_1,H10",209
CSF_RS,"DO_1,H11",171
CSF_UpMinProvision,"DO_1,H11",171
CSF_RS,"DO_1,H12",171
CSF_UpMinProvision,"DO_1,H12",171
CSF_RS,"DO_1,H13",171
CSF_UpMinProvision,"DO_1,H13",171
CSF_RS,"DO_1,H14",171
CSF_UpMinProvision,"DO_1,H14",171
CSF_RS,"DO_1,H15",171
CSF_UpMinProvision,"DO_1,H15",171
CSF_RS,"DO_1,H16",171
CSF_UpMinProvision,"DO_1,H16",171
CSF_RS,"DO_1,H17",171
CSF_UpMinProvision,"DO_1,H17",171
CSF_RS,"DO_1,H18",328
CSF_UpMinProvision,"DO_1,H18",328
CSF_RS,"DO_1,H19",328
CSF_UpMinProvision,"DO_1,H19",328
CSF_RS,"DO_1,H20",328
CSF_UpMinProvision,"DO_1,H20",328
CSF_RS,"DO_1,H21",281
CSF_UpMinProvision,"DO_1,H21",281
CSF_RS,"DO_1,H22",281
CSF_UpMinProvision,"DO_1,H22",281
CSF_RS,"DO_1,H23",156
CSF_UpMinProvision,"DO_1,H23",156
CSF_RS,"DO_1,H24",156
CSF_UpMinProvision,"DO_1,H24",156
CSF_RS,"LU_1,H1",169
CSF_UpMinProvision,"LU_1,H1",169
CSF_RS,"LU_1,H2",169
CSF_UpMinProvision,"LU_1,H2",169
CSF_RS,"LU_1,H3",155
CSF_UpMinProvision,"LU_1,H3",155
CSF_RS,"LU_1,H4",155
CSF_UpMinProvision,"LU_1,H4",155
CSF_RS,"LU_1,H5",155
CSF_UpMinProvision,"LU_1,H5",155
CSF_RS,"LU_1,H6",155
CSF_UpMinProvision,"LU_1,H6",155
CSF_RS,"LU_1,H7",155
CSF_UpMinProvision,"LU_1,H7",155
CSF_RS,"LU_1,H8",223
CSF_UpMinProvision,"LU_1,H8",223
CSF_RS,"LU_1,H9",223
CSF_UpMinProvision,"LU_1,H9",223
CSF_RS,"LU_1,H10",223
CSF_UpMinProvision,"LU_1,H10",223
CSF_RS,"LU_1,H11",176
CSF_UpMinProvision,"LU_1,H11",176
CSF_RS,"LU_1,H12",176
CSF_UpMinProvision,"LU_1,H12",176
CSF_RS,"LU_1,H13",176
CSF_UpMinProvision,"LU_1,H13",176
CSF_RS,"LU_1,H14",176
CSF_UpMinProvision,"LU_1,H14",176
CSF_RS,"LU_1,H15",176
CSF_UpMinProvision,"LU_1,H15",176
CSF_RS,"LU_1,H16",176
CSF_UpMinProvision,"LU_1,H16",176
CSF_RS,"LU_1,H17",176
CSF_UpMinProvision,"LU_1,H17",176
CSF_RS,"LU_1,H18",330
CSF_UpMinProvision,"LU_1,H18",330
CSF_RS,"LU_1,H19",330
CSF_UpMinProvision,"LU_1,H19",330
CSF_RS,"LU_1,H20",330
CSF_UpMinProvision,"LU_1,H20",330
CSF_RS,"LU_1,H21",267
CSF_UpMinProvision,"LU_1,H21",267
CSF_RS,"LU_1,H22",267
CSF_UpMinProvision,"LU_1,H22",267
CSF_RS,"LU_1,H23",169
CSF_UpMinProvision,"LU_1,H23",169
CSF_RS,"LU_1,H24",169
CSF_UpMinProvision,"LU_1,H24",169
CSF_RS,"SA_1,H1",156
CSF_UpMinProvision,"SA_1,H1",156
CSF_RS,"SA_1,H2",156
CSF_UpMinProvision,"SA_1,H2",156
CSF_RS,"SA_1,H3",133
CSF_UpMinProvision,"SA_1,H3",133
CSF_RS,"SA_1,H4",133
CSF_UpMinProvision,"SA_1,H4",133
CSF_RS,"SA_1,H5",133
CSF_UpMinProvision,"SA_1,H5",133
CSF_RS,"SA_1,H6",133
CSF_UpMinProvision,"SA_1,H6",133
CSF_RS,"SA_1,H7",133
CSF_UpMinProvision,"SA_1,H7",133
CSF_RS,"SA_1,H8",209
CSF_UpMinProvision,"SA_1,H8",209
CSF_RS,"SA_1,H9",209
CSF_UpMinProvision,"SA_1,H9",209
CSF_RS,"SA_1,H10",209
CSF_UpMinProvision,"SA_1,H10",209
CSF_RS,"SA_1,H11",171
CSF_UpMinProvision,"SA_1,H11",171
CSF_RS,"SA_1,H12",171
CSF_UpMinProvision,"SA_1,H12",171
CSF_RS,"SA_1,H13",171
CSF_UpMinProvision,"SA_1,H13",171
CSF_RS,"SA_1,H14",171
CSF_UpMinProvision,"SA_1,H14",171
CSF_RS,"SA_1,H15",171
CSF_UpMinProvision,"SA_1,H15",171
CSF_RS,"SA_1,H16",171
CSF_UpMinProvision,"SA_1,H16",171
CSF_RS,"SA_1,H17",171
CSF_UpMinProvision,"SA_1,H17",171
CSF_RS,"SA_1,H18",328
CSF_UpMinProvision,"SA_1,H18",328
CSF_RS,"SA_1,H19",328
CSF_UpMinProvision,"SA_1,H19",328
CSF_RS,"SA_1,H20",328
CSF_UpMinProvision,"SA_1,H20",328
CSF_RS,"SA_1,H21",281
CSF_UpMinProvision,"SA_1,H21",281
CSF_RS,"SA_1,H22",281
CSF_UpMinProvision,"SA_1,H22",281
CSF_RS,"SA_1,H23",156
CSF_UpMinProvision,"SA_1,H23",156
CSF_RS,"SA_1,H24",156
CSF_UpMinProvision,"SA_1,H24",156
CSF_RS,"TR_1,H1",169
CSF_UpMinProvision,"TR_1,H1",169
CSF_RS,"TR_1,H2",169
CSF_UpMinProvision,"TR_1,H2",169
CSF_RS,"TR_1,H3",155
CSF_UpMinProvision,"TR_1,H3",155
CSF_RS,"TR_1,H4",155
CSF_UpMinProvision,"TR_1,H4",155
