NAME,YEAR,MONTH,DAY,PERIOD,BAND,VALUE
ATA-TG1B_GNL_C,2026,5,9,1,1,0
ATA-TG1B_GNL_D,2026,5,9,1,1,0
ATA-TG1B_GNL_E,2026,5,9,1,1,0
ATA-TG1B_GN_A,2026,5,9,1,1,0
ATA-TG1B_GN_B,2026,5,9,1,1,0
ATA-TG1B_GN_C,2026,5,9,1,1,0
ATA-TG1B_GN_D,2026,5,9,1,1,0
ATA-TG1B_GNL_INF,2026,5,9,1,1,0
ATA-TG1B+0.5TV1C_DIE,2026,5,9,1,1,0
ATA-TG1B+0.5TV1C_GNL_A,2026,5,9,1,1,0
ATA-TG1B+0.5TV1C_GNL_B,2026,5,9,1,1,0
ATA-TG1B+0.5TV1C_GNL_C,2026,5,9,1,1,0
ATA-TG1B+0.5TV1C_GNL_D,2026,5,9,1,1,0
ATA-TG1B+0.5TV1C_GNL_E,2026,5,9,1,1,0
ATA-TG1B+0.5TV1C_GN_A,2026,5,9,1,1,0
ATA-TG1B+0.5TV1C_GN_B,2026,5,9,1,1,0
ATA-TG1B+0.5TV1C_GN_C,2026,5,9,1,1,0
ATA-TG1B+0.5TV1C_GN_D,2026,5,9,1,1,0
ATA-TG1B+0.5TV1C_GNL_INF,2026,5,9,1,1,0
ATA-TG2A_DIE,2026,5,9,1,1,0
ATA-TG2A_GNL_A,2026,5,9,1,1,0
ATA-TG2A_GNL_B,2026,5,9,1,1,0
ATA-TG2A_GNL_C,2026,5,9,1,1,0
ATA-TG2A_GNL_D,2026,5,9,1,1,0
ATA-TG2A_GNL_E,2026,5,9,1,1,0
ATA-TG2A_GN_A,2026,5,9,1,1,0
ATA-TG2A_GN_B,2026,5,9,1,1,0
ATA-TG2A_GN_C,2026,5,9,1,1,0
ATA-TG2A_GN_D,2026,5,9,1,1,0
ATA-TG2A_GNL_INF,2026,5,9,1,1,0
ATA-TG2A+0.5TV2C_DIE,2026,5,9,1,1,0
ATA-TG2A+0.5TV2C_GNL_A,2026,5,9,1,1,0
ATA-TG2A+0.5TV2C_GNL_B,2026,5,9,1,1,0
ATA-TG2A+0.5TV2C_GNL_C,2026,5,9,1,1,0
ATA-TG2A+0.5TV2C_GNL_D,2026,5,9,1,1,0
ATA-TG2A+0.5TV2C_GNL_E,2026,5,9,1,1,0
ATA-TG2A+0.5TV2C_GN_A,2026,5,9,1,1,0
ATA-TG2A+0.5TV2C_GN_B,2026,5,9,1,1,0
ATA-TG2A+0.5TV2C_GN_C,2026,5,9,1,1,0
ATA-TG2A+0.5TV2C_GN_D,2026,5,9,1,1,0
ATA-TG2A+0.5TV2C_GNL_INF,2026,5,9,1,1,0
ATA-TG2A+TG2B+TV2C_DIE,2026,5,9,1,1,0
ATA-TG2A+TG2B+TV2C_GNL_A,2026,5,9,1,1,0
ATA-TG2A+TG2B+TV2C_GNL_B,2026,5,9,1,1,0
ATA-TG2A+TG2B+TV2C_GNL_C,2026,5,9,1,1,0
ATA-TG2A+TG2B+TV2C_GNL_D,2026,5,9,1,1,0
ATA-TG2A+TG2B+TV2C_GNL_E,2026,5,9,1,1,0
ATA-TG2A+TG2B+TV2C_GN_A,2026,5,9,1,1,0
ATA-TG2A+TG2B+TV2C_GN_B,2026,5,9,1,1,0
ATA-TG2A+TG2B+TV2C_GN_C,2026,5,9,1,1,0
ATA-TG2A+TG2B+TV2C_GN_D,2026,5,9,1,1,0
ATA-TG2A+TG2B+TV2C_GNL_INF,2026,5,9,1,1,0
ATA-TG2B_DIE,2026,5,9,1,1,0
ATA-TG2B_GNL_A,2026,5,9,1,1,0
ATA-TG2B_GNL_B,2026,5,9,1,1,0
ATA-TG2B_GNL_C,2026,5,9,1,1,0
ATA-TG2B_GNL_D,2026,5,9,1,1,0
ATA-TG2B_GNL_E,2026,5,9,1,1,0
ATA-TG2B_GN_A,2026,5,9,1,1,0
ATA-TG2B_GN_B,2026,5,9,1,1,0
ATA-TG2B_GN_C,2026,5,9,1,1,0
ATA-TG2B_GN_D,2026,5,9,1,1,0
ATA-TG2B_GNL_INF,2026,5,9,1,1,0
ATA-TG2B+0.5TV2C_DIE,2026,5,9,1,1,0
ATA-TG2B+0.5TV2C_GNL_A,2026,5,9,1,1,0
ATA-TG2B+0.5TV2C_GNL_B,2026,5,9,1,1,0
ATA-TG2B+0.5TV2C_GNL_C,2026,5,9,1,1,0
ATA-TG2B+0.5TV2C_GNL_D,2026,5,9,1,1,0
ATA-TG2B+0.5TV2C_GNL_E,2026,5,9,1,1,0
ATA-TG2B+0.5TV2C_GN_A,2026,5,9,1,1,0
