NAME,YEAR,MONTH,DAY,PERIOD,BAND,VALUE
NvaPAzucar500_SC->NvaMaitenc500_SC,2026,5,9,1,1,1700
NvaPAzucar500_SC->Polpaico500_I_SC,2026,5,9,1,1,690
NvaPAzucar500_SC->Polpaico500_II_SC,2026,5,9,1,1,690
NvaPAzucar500->NvaMaitenc500,2026,5,9,1,1,2210
NvaPAzucar500->PAzucar220,2026,5,9,1,1,750
NvaPAzucar500->Polpaico500_I,2026,5,9,1,1,1000
NvaPAzucar500->Polpaico500_II,2026,5,9,1,1,1000
NvaZaldivar220->Andes220,2026,5,9,1,1,548
NvaZaldivar220->MonteMina220,2026,5,9,1,1,531
MonteMina220->Andes220,2026,5,9,1,1,531
NvaZaldivar220->Domeyko220,2026,5,9,1,1,770
Ochagavia110->Florida110,2026,5,9,1,1,409.25
OHiggins220->Domeyko220,2026,5,9,1,1,467
OHiggins220->Palestina220,2026,5,9,1,1,229
Pachacama110->LVegas110,2026,5,9,1,1,270
Paine154->Tuniche154_I,2026,5,9,1,1,179
Palestina220->Domeyko220,2026,5,9,1,1,229
PAlmonte220->Condores220,2026,5,9,1,1,250
PAlmonte220->Lagunas220,2026,5,9,1,1,328
PAlmonte220->PAlmonte110,2026,5,9,1,1,100
Pampa110->Desalant110,2026,5,9,1,1,57
Pangue220->Cholguan220,2026,5,9,1,1,336.14
Pangue220->LosNotros220,2026,5,9,1,1,686
Pangue220->Trupan220,2026,5,9,1,1,336.14
Paposo220->Cachiyuyal220,2026,5,9,1,1,285
Paposo220->Francisco220,2026,5,9,1,1,285
Jadresic500->Jadresic220,2026,5,9,1,1,750
Jadresic220->Jadresic220_II,2026,5,9,1,1,3000
Jadresic220_II->MonteMina220,2026,5,9,1,1,915
Parral154->Linares154,2026,5,9,1,1,106.6943297
PAzucar110->ElPenon110,2026,5,9,1,1,87.3
PAzucar110->Maitenc110,2026,5,9,1,1,78
PAzucar220->DonGoyo220,2026,5,9,1,1,500
PAzucar220->PAzucar110,2026,5,9,1,1,246
PAzucar220->PuntaSierra220,2026,5,9,1,1,580
PColorada220->PAzucar220,2026,5,9,1,1,322
PColorada220->PAzucar220_II,2026,5,9,1,1,500
Pehuenche220->Ancoa220,2026,5,9,1,1,675
Petroquim154->Hualpen154,2026,5,9,1,1,209
Pid-Pid110->Chonchi110,2026,5,9,1,1,55.25242076
Pillanlelbun066->Lautaro066,2026,5,9,1,1,50
PMontt220->Chiloe110,2026,5,9,1,1,90
PMontt220->Molinos110,2026,5,9,1,1,60
PNegro220->Candela220,2026,5,9,1,1,680
Polpaico220->ElSalto110,2026,5,9,1,1,800
Polpaico500->Polpaico220,2026,5,9,1,1,1500
PPeuco110->LVegas110,2026,5,9,1,1,210
PPeuco110->LVegas110_I,2026,5,9,1,1,210
Prrahue220->Rahue220,2026,5,9,1,1,182.9
Prropulli220->Prrahue220,2026,5,9,1,1,182.9
Prropulli220->Rahue220,2026,5,9,1,1,182.9
Prropulli220->Tineo220,2026,5,9,1,1,366
PuntaSierra220->LPalmas220,2026,5,9,1,1,500
PuntaSierra220->Mauro220,2026,5,9,1,1,580
Quillota110->Mirafl110,2026,5,9,1,1,98
Quillota110->Pachacam110,2026,5,9,1,1,270
Quillota220->Mauro220,2026,5,9,1,1,580
Quillota220->Polpaico220,2026,5,9,1,1,1300
Quillota220->Quillota110,2026,5,9,1,1,235
Quintero220->SanLuis220,2026,5,9,1,1,550
Rahue220->Tineo220,2026,5,9,1,1,182.9
Ralco220->LosNotros220,2026,5,9,1,1,1000
Rancagua154->Tuniche154_I,2026,5,9,1,1,179
Rancagua154->Tuniche154_II,2026,5,9,1,1,179
Rapel220->AMelipill220,2026,5,9,1,1,320
Rapel220->LoAguirre220,2026,5,9,1,1,386
Renca110->CNavia110,2026,5,9,1,1,460
RioTolten220->Ciruelos220,2026,5,9,1,1,245
Rucue220->Charrua220,2026,5,9,1,1,362
Salar110->Salar220,2026,5,9,1,1,120
Salar220->Chuquicamata220,2026,5,9,1,1,330
SalardelCarmen,2026,5,9,1,1,61
Salta345->Andes345,2026,5,9,1,1,777
SanLuis220->ASanta220,2026,5,9,1,1,400
SanLuis220->Quillota220,2026,5,9,1,1,1973.8
SantaMaria220->Charrua220,2026,5,9,1,1,517
SantaMarta220->Chena220,2026,5,9,1,1,525
Sauzal110_2->Sauzal154,2026,5,9,1,1,100
Sauzal154->Rancagua154,2026,5,9,1,1,108
SCristobal110->CNavia110,2026,5,9,1,1,425.25
SFcoMost066->Paine154,2026,5,9,1,1,67.2
SJavier66->Constituci66,2026,5,9,1,1,27.9
S-Km6100->Salar110,2026,5,9,1,1,62
SMiguel66->Talca66,2026,5,9,1,1,126.9
StaRosa110->AJahuel110,2026,5,9,1,1,301.8
SVicente154->Hualpen154,2026,5,9,1,1,209
SVicente154->Petroq154,2026,5,9,1,1,209
Talca66->SJavier66,2026,5,9,1,1,34.29460599
Talinay220->LaCebada220,2026,5,9,1,1,225
Tamaya110->S-AA100_3B,2026,5,9,1,1,90
Tamaya110->Salar110_4B,2026,5,9,1,1,90
Tarapaca220->Condores220,2026,5,9,1,1,183
Temuco220->Cautin220,2026,5,9,1,1,386
Temuco220->Temuco66,2026,5,9,1,1,310
Temuco66->Pillanlelbun66,2026,5,9,1,1,60
Temuco66->LasVioletas66,2026,5,9,1,1,18.608
Tilcoco154->Malloa154,2026,5,9,1,1,198
Tilcoco154->PCortes154,2026,5,9,1,1,198
Tineo220->PMontt220,2026,5,9,1,1,269
Tinguiririca154->Itahue154,2026,5,9,1,1,198
Tinguiririca154->Teno154,2026,5,9,1,1,198
TO_Enlace220->Atacama220,2026,5,9,1,1,366.7
Tocopilla110->S-AA100,2026,5,9,1,1,180
Tocopilla110->Tamaya110,2026,5,9,1,1,180
Tocopilla220->Tocopi110,2026,5,9,1,1,200
Torquemada110->Mirafl110,2026,5,9,1,1,300
Trupan220->Charrua220,2026,5,9,1,1,274
Tuniche_1->PCortes154,2026,5,9,1,1,128
Tuniche_1->Tinguiririca154,2026,5,9,1,1,198
Tuniche_2->PCortes154,2026,5,9,1,1,198
Valdivia220->Prropulli220,2026,5,9,1,1,182.9
Ventanas110->Mirafl110,2026,5,9,1,1,300
Ventanas110->Quillota110,2026,5,9,1,1,280
Ventanas110->Torquemada110,2026,5,9,1,1,300
Ventanas220->Ventanas110,2026,5,9,1,1,300
HuertosFamiliares033->Polpaico220,2026,5,9,1,1,155
DonHumberto033->PPeuco110,2026,5,9,1,1,135
IncaOro033->DAlmagro220,2026,5,9,1,1,215
LaCabana033->Mulchen220,2026,5,9,1,1,175
Palpana033->Crucero220,2026,5,9,1,1,326
UribeSolar033->Esmeralda110,2026,5,9,1,1,53
ElevCapricornio033->Capricornio110,2026,5,9,1,1,140
PuntaSierra033->PuntaSierra220,2026,5,9,1,1,86
CentralSalvador023->DAlmagro110,2026,5,9,1,1,117
SanAndres023->CPinto220,2026,5,9,1,1,71
DesiertoAtacama033->Cardones110,2026,5,9,1,1,380
Tamaya033->Tamaya110,2026,5,9,1,1,178
Alfalfal220_CRCA->Alfalfal220,2026,5,9,1,1,240
MariaElena023->MariaElena220,2026,5,9,1,1,133
PEQ023_BP1->MariaElena220,2026,5,9,1,1,190
PEQ023_BP4-5->MariaElena220,2026,5,9,1,1,210
AndesSolar2_023>Andes220,2026,5,9,1,1,160
Futuro033_CRCA2B>Andes220,2026,5,9,1,1,130
Futuro033_CRCA4>Andes220,2026,5,9,1,1,130
Futuro033_CRCA3>Andes220,2026,5,9,1,1,350
VictorJara033->PAlmonte110,2026,5,9,1,1,300
SantaRita023->Lagunas220,2026,5,9,1,1,200
Gabriela033->ElCobre220,2026,5,9,1,1,440
Bolero033->Laberinto220,2026,5,9,1,1,286
Estepa033->Crucero220,2026,5,9,1,1,390
CentralLosLoros023->Cardones110,2026,5,9,1,1,96
Libelula033->Polpaico220,2026,5,9,1,1,340
Iberelena033->Crucero220,2026,5,9,1,1,550
PuntaDeTalca033->Talinay220,2026,5,9,1,1,140
